Region,Country,Country Income Level,Organization Name,Organization Type,Sectors,Description,URL,City,State/Region,Founding Year,Size,Type of Data Used,Advocacy,Advocacy Description,Product/Service,Product/Service Description,Organizational Optimization,Organizational Optimization Description,Research,Research Description,Other,Use - Other Description
North America,United States,High income,Civic Impulse,For-profit,Governance,Civic Impulse builds tools that foster civic participation -  civic education and government transparency -  and works with governments on improving government data policy.,http://www.civicimpulse.com/,Washington,District of Columbia,2009,1 to 10,Government operations,FALSE,,TRUE,build tools that foster civic participation -  civc education -  and government transparency using open government data,FALSE,,FALSE,,FALSE,
North America,United States,High income,Civic Insight,For-profit,Housing -  construction & real estate,Civic Insight makes official data about buildings easily usable.,http://civicinsight.com/,San Francisco,California,2012,1 to 10,Housing,FALSE,,TRUE,uses building and geospatial data to offer open information about building and infrastructure projects,FALSE,,FALSE,,FALSE,
North America,United States,High income,Civinomics,For-profit,Governance,Civinomics is an online platform where people can engage on issues that matter to them.,https://civinomics.com,Santa Cruz,California,2011,1 to 10,Demographic and social,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,Civis Analytics,For-profit,IT and geospatial,Civis Analytics helps companies -  non-profits -  and campaigns leverage their data to develop smarter strategy -  make better decisions -  and build stronger -  data-driven organizations.,http://civisanalytics.com/,Chicago,Illinois,2013,51 to 200,Other,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,Clean Power Finance,For-profit,Energy and climate,Clean Power Finance is an unbranded platform that connects the residential solar industry with capital markets.,http://www.cleanpowerfinance.com,San Francisco,California,2006,51 to 200,Energy -  Science and research,FALSE,,TRUE,Uses open data to connect the solar industry with capital markets and provides residential solar professionals.,FALSE,,FALSE,,FALSE,
North America,United States,High income,Clean Power Research,For-profit,Business -  research and consulting,Clean Power Research powers intelligent energy decisions with industry-leading software -  research and consulting services. They help you develop -  sell and operate solar and other renewables with fast -  precise insight into the energy -  economic and environmental impacts of your projects.,http://www.cleanpower.com/,Napa,California,1992,11 to 50,Energy,FALSE,,TRUE,API services use NREL data,FALSE,,FALSE,,FALSE,
North America,United States,High income,ClearHealthCosts,Nonprofit,Healthcare,ClearHealthCosts brings cost transparency to the health-care marketplace.,http://clearhealthcosts.com/,New York,New York,2011,1 to 10,Health/healthcare,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,ClearStory Data,For-profit,IT and geospatial,ClearStory Data makes it easy for business users to find -  combine and interactively explore data across first-party and third-party sources.,www.clearstorydata.com,Palo Alto,California,2011,51 to 200,Other,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
Europe & Central Asia,Austria,High income,Climate Knowledge Brokers (CKB),Other,Energy and climate,The Climate Knowledge Brokers (CKB) Group is an emerging alliance of around 150 of the leading global -  local and national knowledge brokers specialising in climate and development information.,http://www.climateknowledgebrokers.net/,Vienna,Vienna,2011,51 to 200,Energy -  Environment,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,Climate-Corporation,For-profit,Agriculture,The Climate Corporation aims to help farmers around the world protect and improve their farming operations with uniquely powerful software and insurance products.,http://www.climate.com,San Francisco,CA,2007,51 to 200,Environment -  Geospatial -  Agriculture -  Weather,FALSE,,TRUE,Uses weather open data to better predict meteoreologic conditions to provide insurance services to farmers.,FALSE,,FALSE,,FALSE,
North America,United States,High income,CliniCast,For-profit,Healthcare,CliniCast builds comprehensive oncology solutions that enable providers to reduce the cost of managing cancer without compromising patient care.,http://clinicast.net/,Millbrae,California,2011,1 to 10,Health/healthcare,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,Cloudmade,For-profit,IT and geospatial,CloudMade's platform makes geospatial data from hundreds of different sources accessible for different devices and automotive manufacturers -  developers and enterprises.,http://cloudmade.com,Menlo Park,California,2007,51 to 200,Geospatial -  Transportation,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,Cloudspyre,For-profit,Governance,Cloudspyre is a software development company and creator of Gender Gap -  an award-winning app developed with Department of Labor data on gender inequality in compensation.,http://www.cloudspyre.com/,Bristow,Virginia,2010,1 to 10,Economic,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
Sub-Saharan Africa,Kenya,Lower middle income,Code for Africa,Nonprofit,Governance,Code for Africa is an initiative driven and co-funded by grassroots citizen organizations and the mass media and is focused primarily on building civic technology capacity within civil society and the watchdog media.,http://www.codeforafrica.org,Nairobi,,2015,11 to 50,Government operations -  Health/healthcare,TRUE,Uses open data in various civic projects -  such as StarHealth -  and GotToVote.,FALSE,,FALSE,,FALSE,,FALSE,
Europe & Central Asia,Germany,High income,Code for Germany,Developer group,Governance,Code for Germany aims to promote developments in the area of transparency -  open data and Civic Tech.,http://codefor.de/,Berlin,,2015,11 to 50,Environment -  Government operations,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,
Sub-Saharan Africa,Ghana,Lower middle income,Code for Ghana,Nonprofit,IT and geospatial,Code for Ghana is part of the Code for Africa initiative which aims to use open data and technology to promote responsive -  innovative and effective governance.,http://www.codeforghana.org/,Madina,Greater Accra Region,2015,1 to 10,Education -  Government operations -  Agriculture -  Health/healthcare,TRUE,,TRUE,Various projects -  e.g. Odekro -  Where My Money Dey?,FALSE,,FALSE,,FALSE,
Europe & Central Asia,Ireland,High income,Code for Ireland,Developer group,Governance,Code for Ireland are building interdisciplinary teams of marketers -  designers -  developers and OpenGov specialists to design and create apps that will leverage open government datasets and simplify interfaces -  hereby empowering citizens.,http://codeforireland.com/,Dublin,Dublin,2009,1 to 10,Government operations,TRUE,Uses open data in various civic projects.,FALSE,,FALSE,,FALSE,,FALSE,
East Asia & Pacific,Japan,High income,Code for Japan,Developer group,Governance,Code for Japan continue to support the activities of emergent actions that utilize the technology for better future development.,http://code4japan.org/,Tokyo,,2015,11 to 50,Government operations,TRUE,Uses open data in various civic projects.,FALSE,,FALSE,,FALSE,,FALSE,
Sub-Saharan Africa,Kenya,Lower middle income,Code for Kenya,Developer group,Governance,Code4Kenya aims to create a sustainable ecosystem around the Kenya Open Data Initiative -  that will allow organizations -  developers and the community at large derive the advantages that an Open Data Initiative provides.,http://www.code4kenya.org/,Nairobi,Nairobi County,2013, ,Health/healthcare -  Public safety -  Education -  Government operations,TRUE,,TRUE,Various projects -  e.g. County Safety - Find My School Ke,FALSE,,FALSE,,FALSE,
North America,United States,High income,Code for Northern Virginia,Developer group,IT and geospatial,Code for Northern Virginia (NoVA) are developers -  designers -  data geeks -  leaders -  and idea-makers who volunteer to help Arlington County -  Alexandria City -  and Fairfax County governments and civic orgs adopt open web technologies.,http://codefornova.org/,Arlington,VA,2015,,Legal,FALSE,,TRUE,developing a Patent Tracker with National Science Foundation &amp; NoVA Business using USPTO data,FALSE,,FALSE,,FALSE,
South Asia,Pakistan,Lower middle income,Code for Pakistan,Nonprofit,Governance,Open Data Pakistan is building a new ecosystem of civic innovation in Pakistan.,http://codeforpakistan.org/,Islamabad,,2013,1 to 10,Health/healthcare -  Government operations -  Transportation,TRUE,use of open data in various projects -  e.g. Never Ride Alone -  NoKunda,TRUE,,FALSE,,FALSE,,FALSE,
Europe & Central Asia,Poland,High income,Code for Poland,Developer group,Governance,Code for Poland is an interdisciplinary community seeking technological solutions to social problems.,http://kodujdlapolski.pl/,Warsaw,,2015,1 to 10,Government operations -  Transportation -  Finance,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,
Sub-Saharan Africa,South Africa,Upper middle income,Code for South Africa,Developer group,Governance,Code for South Africa is a civic technology lab using data and technology to change lives.,http://code4sa.org/,Cape Town,Western Cape,2015,1 to 10,Health/healthcare -  Government operations -  Demographic and social -  Legal -  Economic,TRUE,Uses open data in various civic projects -  such as MapIt.code4sa.org -  and Wazimap.co.za.,FALSE,,FALSE,,FALSE,,FALSE,
Latin America & Caribbean,Jamaica,Upper middle income,Code for the Caribbean,Developer group,IT and geospatial,Code for the Caribbean seeks to understand technology and service contexts -  and jointly brainstorm solutions -  all while sharing knowledge and invigorating latent internal government innovators to explore problems and create novel solutions.,http://www.codeforthecaribbean.org/,Kingston,Saint Andrew Parish,2015,,Other,TRUE,Uses open data in various civic projects.,FALSE,,FALSE,,FALSE,,FALSE,
Europe & Central Asia,Netherlands,High income,Code for the Netherlands,Developer group,Governance,Code for NL place innovative people with technical skills (semi) to help governments to work on concrete solutions to social problems.,http://www.codefor.nl/,North Holland,,2015,,Government operations,TRUE,Uses open data in various civic projects.,FALSE,,FALSE,,FALSE,,FALSE,
North America,United States,High income,Code-N,For-profit,IT and geospatial,Code-N is a cloud computing company that leverages concept-based technology to deliver software solutions to the BioPharma industry.,http://www.code-n.com/,Menlo Park,California,2010,11 to 50,Legal,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
Sub-Saharan Africa,Ethiopia,Low income,Code4Ethiopia,Developer group,Governance,Code4Ethiopia has the responsibilities of advocating open data -  build a community to connect and promote the work of data professionals in Ethiopia -  provide technology support to civil societies to assist them in producing -  processing and using data -  and conduct assessment in readiness -  implementation and impacts of open data in Ethiopia.,http://www.code4ethiopia.org/,Addis Ababa,Addis Ababa,2015,,,TRUE,Has developed programs such as Open Data Advocacy - Open Data Community Building - Open Data Publishing and Data Journalism - and others.,FALSE,,FALSE,,FALSE,,FALSE,
North America,United States,High income,CodeGreen Solutions,For-profit,Energy and climate,CodeGreen Solutions is a sustainable building and energy engineering firm committed to developing innovative solutions that help clients conserve capital -  reach sustainability goals -  and reduce energy consumption.,http://www.codegreensolutions.com,New York,NY,2015,11 to 50,Energy,FALSE,,TRUE,Uses open data -  such as energy engineering -  financial incentives and technology -  to help real estate and business owners develop and achieve their energy reduction and sustainability goals. ,FALSE,,FALSE,,FALSE,
East Asia & Pacific,Korea -  Rep.,High income,CodeNamu,Developer group,Governance,CodeNamu is an open community of citizens spontaneously gathered to realize open government.,http://codenamu.org/,Seoul,,2010,1 to 10,Government operations,TRUE,Uses open data in various civic projects.,FALSE,,FALSE,,FALSE,,FALSE,
North America,United States,High income,CodeSmart,For-profit,IT and geospatial,CodeSmart provides custom IT solutions.,http://codesmartinc.com,Lacey,Washington,2002,51 to 200,International development -  Government operations -  Public safety -  Economic,FALSE,,FALSE,,TRUE,Consulting services use public sources to validate data -  and its timeliness and accuracy.,FALSE,,FALSE,
Latin America & Caribbean,Mexico,Upper middle income,Codeando Mexico,Nonprofit,IT and geospatial,Codeando Mexico seeks to empower citizens through tools that redesign citizenship and government in the digital age.,http://codeandomexico.org,Mexico City,,2013,1 to 10,Geospatial -  Education -  Finance -  Public safety,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,
Latin America & Caribbean,Costa Rica,Upper middle income,Codeeze,For-profit,IT and geospatial,Mobile + Web Development. Born in Costa Rica as a small and highly focused team of software engineers -  the purpose of Codeeze is to transform complex problems into simple solutions.,http://www.codeeze.net,Quesada,Alajuela,2013,1 to 10,Economic,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
East Asia & Pacific,New Zealand,High income,Coffey Geotechnics,For-profit,IT and geospatial,Coffey Geotechnics provides geotechnical consultancy throughout the asset lifecycle in the transport and property infrastructure -  and energy and resources sectors.,http://www.coffey.com/,Auckland,Auckland,1959,1000+,Geospatial,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
North America,United States,High income,Collective IP,For-profit,IT and geospatial,Collective IP platform provides technology transfer and corporate licensing professionals with a unique asset marketing platform -  and a novel search solution for business development professionals who focus on asset identification within companies and technology transfer organizations.,https://www.collectiveip.com,Denver,CO,2011,1 to 10,Legal -  Energy,FALSE,,TRUE,the platform provides a search solution based on USPTO data,FALSE,,FALSE,,FALSE,
North America,United States,High income,College Abacus,Nonprofit,Education,An ECMC initiative -  CollegeAbacus.org provides financial aid estimates to prospective college students.,https://collegeabacus.org/,Washington,District of Columbia,1994,201 to 1000,Education,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,College-Board,Nonprofit,Education,The College-Board seeks to ensure that every student in the US has access to a high-quality education and is prepared to succeed in college.,https://www.collegeboard.org/,New York,New York,,1000+,Education,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,Comcast - EveryBlock,For-profit,Media and communications,EveryBlock (a Comcast initiative) is a website for neighborhood discussions and engagement -  including the latest local media stories -  crime reports -  real estate listings and business reviews.,http://www.everyblock.com/,Philadelphia,PA,2008,1000 ,Housing -  Public safety -  Business -  Health/healthcare,FALSE,,TRUE,EveryBlock displays data on 311 requests from local governments - food inspections - crime reports - building permits and business licenses in a simple - easy-to-use format,FALSE,,FALSE,,FALSE,
Europe & Central Asia,Slovenia,High income,Commission for Prevention of Corruption,Nonprofit,Governance,The Slovenian Commission on the Prevention of Corruption (CPC) is an independent anti-corruption agency with a broad mandate in the field of preventing and investigating corruption -  breaches of ethics and integrity of public office.Â ,http://supervizor.kpk-rs.si/,Ljubjana,Ljubljana,2015,,Government operations,FALSE,,TRUE,A search engine created to allow for better monitoring of public expenditure in Slovenia.,FALSE,,FALSE,,FALSE,
Europe & Central Asia,France,High income,CommoPrices,For-profit,Agriculture,CommoPrices is a web portal of business intelligence that publishes over 1600 commodity prices.,https://commoprices.com/,Paris,ÃŽle-de-France,2014,11 to 50,Other,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
Europe & Central Asia,United Kingdom,High income,Common Futures,For-profit,Governance,Common Futures is a community ownership and civil engineering venture providing policy development -  advice and support for communities with the aim of creating an inclusive digital society and developing contemporary community-led approaches to the commons.,http://commonfutures.eu/,Colchester,England,2013,1 to 10,,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
Europe & Central Asia,United Kingdom,High income,Community Energy Manager,Developer group,Energy and climate,Community Energy Manager helps community groups support their local area by brokering energy efficiency improvements and generating savings for their community -  helping to reduce carbon emissions -  fuel bills and reduce fuel poverty.,http://www.communityenergymanager.org/,Bristol,,2015,1 to 10,Demographic and social -  Energy,FALSE,,FALSE,,TRUE,Helps support local people to reduce their energy usage and fuel bills. Uses information to negotiate retrofit and renewable energy projects with energy companies - retail outlets and renewable energy installers.,FALSE,,FALSE,
East Asia & Pacific,Australia,High income,Community Insight Australia,Other,IT and geospatial,Community Insight Australia is a social enterprise that will translate the UK software tool Community Insight for use with Australian communities to collate and map publicly available social data.,www.communityinsightaustralia.org,Sydney,New South Wales,2014,1 to 10,Demographic and social,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
North America,United States,High income,Community Legal Services,Nonprofit,Business -  research and consulting,Community Legal Services provide free direct legal representation to -  community education for -  and systemic advocacy on behalf of low-income Philadelphians. ,http://www.clsphila.org,Philadelphia,Pennsylvania,1966,51 to 200,Demographic and social -  Geospatial -  Housing -  Government operations -  Consumer -  Legal,TRUE,We use open data to provide context and empirical evidence to explain patterns and stories that we see among our clients. We have used open data to advocate for better criminal record hiring policies -  for improving the way the state Department of Health overseas nursing homes -  and to reduce the bail debt sought by the city of Philadelphia from decades old cases.,FALSE,,TRUE,We look at demographic and other social information gleaned from open data and compare it to our case management system to target neighborhoods that are currently underserved.,FALSE,,FALSE,
North America,United States,High income,Compared Care,For-profit,Healthcare,Compared Care is a web application that is designed to provide patients with the research tools to make informed decisions regarding their healthcare.,https://comparedcare.com,Baltimore,MD,2014,1 to 10,Health/healthcare,FALSE,,TRUE,online tool uses open data to compare the cost of medical procedures,FALSE,,FALSE,,FALSE,
North America,United States,High income,Compliance and Risks,For-profit,Business -  research and consulting,Compliance &amp; Risks provides companies with web-based solutions to get their products to market fully compliant with all applicable global and/or local legislations.,http://www.complianceandrisks.com,Oregon House,California,2000,11 to 50,Economic,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
South Asia,India,Lower middle income,CompuSense automation,For-profit,IT and geospatial,Compusense Automation provides a variety of GIS and mapping services such as landuse pattern -  environmental impact assessment -  forest mapping.,http://compusense.in/,Ahmedabad,,1997,11 to 50,Geospatial,FALSE,,FALSE,,TRUE,uses open geographical data for field visualization in urban planning and environmental policy making.,FALSE,,FALSE,
North America,United States,High income,Computer Packages Inc,For-profit,IT and geospatial,Computer Packages Inc. provides intellectual property management systems and patent annuity payment services.,http://www.computerpackages.com/,Rockville,Maryland,1968,51 to 200,Legal,FALSE,,TRUE,provides electronic delivery of electronic patent office data to you.,FALSE,,FALSE,,FALSE,
East Asia & Pacific,Korea -  Rep.,High income,Comtec System,For-profit,IT and geospatial,Comtec Systems offers system integration (SI) solutions in South Korea.,http://www.comtec.com,Seoul,,1996,201 to 1000,International development -  Demographic and social -  Education -  Business,FALSE,,FALSE,,FALSE,,TRUE,We compare the relationship between education and business in Asia and Western countries,FALSE,
Latin America & Caribbean,Mexico,Upper middle income,Confederacian Patronal de la Republica Mexicana (COPARMEX),Nonprofit,Business -  research and consulting,COPARMEX helps establish conditions for the prosperity of all Mexicans by promoting increasing social cohesion -  enabling companies to develop -  multiply and fulfill their creative function of employment and wealth with social responsibility.,http://www.coparmex.org.mx/,Mexico City,Federal District,1929,51 to 200,,FALSE,,TRUE,Uses open data to provide information about labor and the private sector to its members.,FALSE,,FALSE,,FALSE,
Latin America & Caribbean,Argentina,High income,Congreso Interactivo,Developer group,Governance,Congreso Interactivo is a citizen initiative in the area of open government -  which over time has led to the collaboration of many people -  especially designers -  programmers -  journalists and political scientists for the creation of various products and actions aimed to facilitate access information about Argentina legislative activity.,http://blog.congresointeractivo.org/,Buenos Aires,Autonomous City of Buenos Aires,2011,1 to 10,Government operations,TRUE,Platform is based on open parliament data.,FALSE,,FALSE,,FALSE,,FALSE,
Latin America & Caribbean,Guatemala,Lower middle income,Congreso Transparente,Developer group,Governance,Congreso Transparente is bridge of communication between citizens and the Guatemalan Congress,http://congresotransparente.org/,Guatemala City,,2011,1 to 10,Government operations,TRUE,Platform is based on open parliament data.,FALSE,,FALSE,,FALSE,,FALSE,
Europe & Central Asia,Finland,High income,Conifer Productions,For-profit,IT and geospatial,Conifer Productions is a software development company.,http://www.coniferproductions.com,Tampere,Pirkanmaa,2015,,Transportation,FALSE,,TRUE,Developers of BusMonTRE app -  which uses open data to provide users with useful information regarding Tampere public transport.,FALSE,,FALSE,,FALSE,
Sub-Saharan Africa,Nigeria,Lower middle income,Connected Development [CODE],Nonprofit,Governance,[CODE] is a non government organization whose mission is to improve access to information and empower local communities in Africa.,http://www.connecteddevelopment.org/,Abuja,Federal Capital Territory,2010,11 to 50,Government operations,TRUE,Promotes open data for effective democratic governance and accountability -  and creates platforms that close the feedback loop between citizens and the government.,FALSE,,TRUE,disaster and emergency response,FALSE,,FALSE,
North America,United States,High income,Connotate,For-profit,IT and geospatial,Connotate provides Web data extraction and monitoring to help businesses make smarter decisions -  reduce costs and grow revenue.,http://www.connotate.com,New Brunswick,New Jersey,2000,51 to 200,Legal,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
Latin America & Caribbean,Mexico,Upper middle income,Consejo Mexicano de la Carne,Nonprofit,Agriculture,The COMECARNE group consists of companies engaged in activities related to the meat industry -  slaughter establishments -  bakeries cutting and deboning -  packing of fresh and processed meat.,http://www.comecarne.org/,Mexico City,Federal District,1985,1 to 10,Agriculture -  Health/healthcare -  Demographic and social -  Finance -  Consumer -  Economic -  Business,FALSE,,TRUE,Uses open data to provide relevant information about the meat market to its members.,FALSE,,FALSE,,FALSE,
Latin America & Caribbean,Mexico,Upper middle income,Consejo Nacional Empresarial Turistico,For-profit,Arts -  culture and tourism,The Consejo Nacional Empresarial Turistico is made up of 13 chambers and federal associations -  representing virtually all branches that make up the tourism industry.,http://www.cnet.org.mx/,Mexico City,Federal District,1988,11 to 50,Consumer -  Business -  Economic -  Transportation -  Tourism -  Agriculture -  Demographic and social -  Geospatial,FALSE,,TRUE,Uses open data to provide relevant information about the tourism sector to its members.,FALSE,,FALSE,,FALSE,
North America,United States,High income,Construction Monitor,For-profit,Housing -  construction & real estate,Construction Monitor provides timely -  detailed and accurate building permit information -  using state of the art technologies to continuously improve its work processes.,https://www.constructionmonitor.com/,Cedar City,Utah,1989,11 to 50,Demographic and social -  Housing,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
East Asia & Pacific,Australia,High income,Construction Skills Queensland,Nonprofit,Housing -  construction & real estate,Construction Skills Queenslandâ€™s core programs focus on attracting -  developing and retaining new entrants and existing workers to underpin the future prosperity of building and construction in Queensland.,http://www.csq.org.au/,West End,Queensland,1998,11 to 50,Housing -  Education -  Demographic and social,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,
North America,United States,High income,Consumer Reports,Nonprofit,Consumer,Consumer Reports is an independent -  nonprofit organization whose mission is to work for consumer empowerment and a fair -  just -  and safe marketplace for all consumers.,http://www.consumerreports.org,Yonkers,New York,1936,201 to 1000,Health/healthcare,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
Latin America & Caribbean,Brazil,Upper middle income,Contas Abertas,Nonprofit,Governance,Contas Abertas is an NGO whose aim is to promote public transparency -  social control and the fight against corruption.,http://www.contasabertas.com.br,BrasÃ­lia,Federal District,2005,,Economic,TRUE,Contas Abertas has been providing Brazilian media with training on how to use the â€œWhere did my money go?â€ portal -  helping them publish stories that often generate public outrage and a swift official response -  such as in 2011 -  when a story on some government officialsâ€™ improper credit card use led to an internal investigation. ,FALSE,,FALSE,,FALSE,,FALSE,
Latin America & Caribbean,Mexico,Upper middle income,Conurba,For-profit,Energy and climate,CONURBA is an established company in the field of consulting territorial -  urban and environmental issues -  that offers services of planning -  prospecting -  solutions and management and better use of land and natural resources. ,http://www.conurbamx.com/,Morelia,Federal District,2002,1 to 10,Transportation -  Economic -  Government operations -  International development -  Geospatial -  Business -  Housing -  Environment,FALSE,,TRUE,Uses open data to provide consulting services around issues such as land use and natural resources.,FALSE,,FALSE,,FALSE,
North America,United States,High income,Conveyal,For-profit,Transportation and logistics,Conveyal is a consultancy specializing in open data and open source technology for the transport sector.,http://conveyal.com/,Washington,DC,2015,1 to 10,Transportation,FALSE,,TRUE,Conveyal-developed tools leverage open data created for public journey planning to build a robust - multi-modal transport model.,FALSE,,FALSE,,FALSE,
East Asia & Pacific,Australia,High income,Cook Medical,For-profit,Healthcare,Cook Medical is dedicated to bold leadership in pioneering innovative medical solutions to enhance patient care worldwide. ,http://www.cookmedical.com/,Brisbane,Queensland,1963,201 to 1000,Health/healthcare,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
North America,United States,High income,CoolClimate,Other,Energy and climate,CoolClimate provides a complete -  high-resolution -  peer-reviewed model of carbon footprints associated with transportation -  foods -  goods and services for households -  businesses -  organizations and cities.,http://coolclimate.berkeley.edu/,Berkeley,California,2007,1 to 10,Energy,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,Copyright Clearance Center,For-profit,Business -  research and consulting,Copyright Clearance Center (CCC) is a global rights broker for books -  journals -  blogs -  movies and more.,http://www.copyright.com,Danvers,Massachusetts,1978,201 to 1000,Legal,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
Europe & Central Asia,United Kingdom,High income,CoreFilling,For-profit,Business -  research and consulting,CoreFiling is a dedicated eXtensible Business Reporting Language (XBRL) vendor that uses high quality modelling -  data validation and development services to provide consulting and enhanced data management.,http://www.corefilling.com/,Oxford,England,1997,51 to 200,Business,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,
North America,United States,High income,CoreLogic,For-profit,Housing -  construction & real estate,CoreLogic maintains one of the largest and most comprehensive real estate -  mortgage-finance and property location databases in the country.,http://www.corelogic.com/,Irvine,California,2010,1000+,Housing,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
East Asia & Pacific,New Zealand,High income,Coriolis Research,For-profit,Business -  research and consulting,Coriolis is a boutique management consulting firm that focuses on food -  consumer packaged goods -  retailing and foodservice.,http://www.coriolisresearch.com,Auckland,Auckland,1999,1 to 10,Demographic and social -  Economic,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
Europe & Central Asia,Belgium,High income,Corporate Europe Observatory,Nonprofit,Governance,Corporate Europe Observatory (CEO) is a research and campaign group working to expose and challenge the privileged access and influence enjoyed by corporations and their lobby groups in EU policy making.,http://corporateeurope.org,Brussels,,1997,11 to 50,Environment -  Other -  Economic,TRUE,Use open data to expose the power of corporate lobbying in the EU.,FALSE,,FALSE,,FALSE,,FALSE,
South Asia,India,Lower middle income,Corporate Sustainability and Reputation Consulting,For-profit,Other,Corporate Sustainability and Reputation Consulting is a social enterprise investing in countrywide research -  partnership -  data -  knowledge -  travel and promotion.,http://www.csridentity.com/,Thane,Maharashtra,2007,,Other,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
North America,United States,High income,CostQuest,For-profit,Business -  research and consulting,CostQuest provides global knowledge of costs -  business functions -  network modeling -  telecommunications -  economics -  regulation -  and application of the correct data to make accurate business decisions.,http://www.costquest.com,Cincinnati,Ohio,1990,11 to 50,Demographic and social,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
East Asia & Pacific,New Zealand,High income,Council of Trade Unions,Other,Business -  research and consulting,The New Zealand Council of Trade Unions (Te Kauae Kaimahi) brings together over 350 - 000 New Zealand union members in 40 affiliated unions -  and is the united voice for working people and their families in New Zealand. ,http://union.org.nz,Wellington,Wellington,1987,11 to 50,Economic,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
North America,United States,High income,Creative Commons,Nonprofit,Business -  research and consulting,Creative Commons enables the sharing and use of creativity and knowledge through free legal tools.,http://creativecommons.org/,Mountain View,CA,2001,11 to 50,Business -  Legal,FALSE,,FALSE,,FALSE,,TRUE,uses open data for research and open standards advocacy.,FALSE,
Latin America & Caribbean,Uruguay,High income,Creative Commons Uruguay,Developer group,IT and geospatial,Creative Commons Uruguay's mission is to support an open and accessible Internet -  foster better of free knowledge.,http://www.creativecommons.uy/,Montevideo,Montevideo Department,2015,,Arts and culture,TRUE,platform Autores uses cultural open data,FALSE,,FALSE,,FALSE,,FALSE,
North America,United States,High income,Credifi,For-profit,Finance and insurance,Credifi Corp provides investment grade data for professionals with a focus on the commercial real estate market in the United States,http://www.credifi.com/,New York,NY,2013,11 to 50,Finance,FALSE,,FALSE,,TRUE,applies scalable Big Data and data mining techniques -- using info from the web - public records - institutional reports - etc.,FALSE,,FALSE,
North America,United States,High income,Credit Karma,For-profit,Finance and insurance,Credit Karma is a web-based credit and financial management service that helps more than 20 million consumers track their credit and finances for free.,https://www.creditkarma.com,San Francisco,CA,2007,51 to 200,Finance -  Legal,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,Credit Sesame,For-profit,Finance and insurance,Credit Sesame is a free tool that provides a free credit score -  credit monitoring -  and a way to save money on loans and credit.,http://creditsesame.com,Mountain View,CA,2010,11 to 50,Demographic and social,FALSE,,TRUE,Uses open data to provide consumers with access to their financial information.,FALSE,,FALSE,,FALSE,
Europe & Central Asia,United Kingdom,High income,Creotec,For-profit,IT and geospatial,Creotec is a website design and web application development agency providing a variety of web-based solutions to clients.,http://www.creotec.com/index.php,Bracknell,England,2000,11 to 50,Business,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
East Asia & Pacific,Australia,High income,Cribbing and Matting Co. ,For-profit,Business -  research and consulting,Cribbing and Matting Co mission is to create value for our customers by delivering innovative safe cribbing -  shoring -  stabilization systems and modular matting products manufactured from recycled plastic materials that would otherwise end up in landfill.,http://www.cribandmatco.com.au,Sydney,New South Wales,2013,1 to 10,Demographic and social,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
